IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.100.206,2083,2083,true,SIN,Asia Pacific,Singapore,105,4.86
8.210.203.7,2083,2083,true,HKG,Asia Pacific,Hong Kong,102,4.86
47.243.5.154,2087,2087,true,HKG,Asia Pacific,Hong Kong,53,4.86
47.76.77.103,2053,2053,true,HKG,Asia Pacific,Hong Kong,55,4.86
47.242.202.230,2096,2096,true,HKG,Asia Pacific,Hong Kong,113,4.86
47.245.105.224,2087,2087,true,SIN,Asia Pacific,Singapore,40,4.85
8.210.100.23,2087,2087,true,HKG,Asia Pacific,Hong Kong,40,4.85
47.237.95.146,2053,2053,true,SIN,Asia Pacific,Singapore,58,4.85
8.219.106.156,2096,2096,true,SIN,Asia Pacific,Singapore,96,4.85
8.222.160.176,2087,2087,true,SIN,Asia Pacific,Singapore,92,4.84
8.210.175.109,2053,2053,true,HKG,Asia Pacific,Hong Kong,99,4.84
8.217.50.252,2087,2087,true,HKG,Asia Pacific,Hong Kong,85,4.84
8.218.243.95,2053,2053,true,HKG,Asia Pacific,Hong Kong,85,4.83
47.238.131.39,2083,2083,true,HKG,Asia Pacific,Hong Kong,109,4.83
8.210.3.24,2096,2096,true,HKG,Asia Pacific,Hong Kong,43,4.82
8.219.191.40,2053,2053,true,SIN,Asia Pacific,Singapore,118,4.82
47.237.95.140,2053,2053,true,SIN,Asia Pacific,Singapore,103,4.82
47.76.189.102,8443,8443,true,HKG,Asia Pacific,Hong Kong,74,4.82
8.219.110.81,8443,8443,true,SIN,Asia Pacific,Singapore,72,4.81
8.219.222.98,2083,2083,true,SIN,Asia Pacific,Singapore,14,4.81
47.237.86.185,8443,8443,true,SIN,Asia Pacific,Singapore,61,4.81
8.219.42.72,8443,8443,true,SIN,Asia Pacific,Singapore,96,4.80
47.242.234.127,2083,2083,true,HKG,Asia Pacific,Hong Kong,65,4.80
47.242.119.104,2053,2053,true,HKG,Asia Pacific,Hong Kong,77,4.79
8.219.11.158,8443,8443,true,SIN,Asia Pacific,Singapore,70,4.78
8.219.114.201,8443,8443,true,SIN,Asia Pacific,Singapore,92,4.78
8.219.199.220,2096,2096,true,SIN,Asia Pacific,Singapore,73,4.77
8.210.192.93,2083,2083,true,HKG,Asia Pacific,Hong Kong,49,4.77
8.219.103.65,2083,2083,true,SIN,Asia Pacific,Singapore,120,4.76
8.222.193.65,2087,2087,true,SIN,Asia Pacific,Singapore,80,4.76
47.243.243.14,2053,2053,true,HKG,Asia Pacific,Hong Kong,61,4.75
47.242.171.94,8443,8443,true,HKG,Asia Pacific,Hong Kong,64,4.75
8.219.189.143,2096,2096,true,SIN,Asia Pacific,Singapore,71,4.74
47.237.100.206,2053,2053,true,SIN,Asia Pacific,Singapore,168,4.74
47.76.222.57,2096,2096,true,HKG,Asia Pacific,Hong Kong,44,4.74
47.236.117.48,2096,2096,true,SIN,Asia Pacific,Singapore,133,4.74
8.219.248.47,2053,2053,true,SIN,Asia Pacific,Singapore,80,4.73
47.237.95.140,2083,2083,true,SIN,Asia Pacific,Singapore,184,4.73
47.76.178.146,2083,2083,true,HKG,Asia Pacific,Hong Kong,88,4.73
47.242.125.241,2087,2087,true,HKG,Asia Pacific,Hong Kong,42,4.72
47.245.105.224,2083,2083,true,SIN,Asia Pacific,Singapore,36,4.72
8.210.66.190,2087,2087,true,HKG,Asia Pacific,Hong Kong,94,4.72
47.242.7.162,2083,2083,true,HKG,Asia Pacific,Hong Kong,112,4.72
47.243.255.224,8443,8443,true,HKG,Asia Pacific,Hong Kong,142,4.72
47.242.252.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,142,4.71
47.245.84.124,2053,2053,true,SIN,Asia Pacific,Singapore,36,4.71
8.219.124.227,2083,2083,true,SIN,Asia Pacific,Singapore,118,4.71
8.218.98.75,2083,2083,true,HKG,Asia Pacific,Hong Kong,83,4.70
8.210.66.190,2083,2083,true,HKG,Asia Pacific,Hong Kong,40,4.70
8.218.48.92,2053,2053,true,HKG,Asia Pacific,Hong Kong,49,4.70
8.219.97.50,2096,2096,true,SIN,Asia Pacific,Singapore,71,4.70
47.242.176.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,56,4.69
47.236.172.71,2087,2087,true,SIN,Asia Pacific,Singapore,56,4.69
8.219.209.14,2087,2087,true,SIN,Asia Pacific,Singapore,58,4.68
47.242.7.162,8443,8443,true,HKG,Asia Pacific,Hong Kong,38,4.68
8.219.201.8,2096,2096,true,SIN,Asia Pacific,Singapore,112,4.68
8.218.155.238,2096,2096,true,HKG,Asia Pacific,Hong Kong,73,4.68
8.210.192.93,8443,8443,true,HKG,Asia Pacific,Hong Kong,118,4.65
47.237.8.82,2087,2087,true,SIN,Asia Pacific,Singapore,54,4.64
47.236.117.48,8443,8443,true,SIN,Asia Pacific,Singapore,154,4.63
47.237.92.26,8443,8443,true,SIN,Asia Pacific,Singapore,145,4.63
47.236.10.182,2083,2083,true,SIN,Asia Pacific,Singapore,92,4.62
47.242.252.237,8443,8443,true,HKG,Asia Pacific,Hong Kong,103,4.62
8.219.222.98,443,443,true,SIN,Asia Pacific,Singapore,107,4.61
47.76.227.40,8443,8443,true,HKG,Asia Pacific,Hong Kong,36,4.59
8.218.173.78,2087,2087,true,HKG,Asia Pacific,Hong Kong,165,4.59
8.210.48.107,8443,8443,true,HKG,Asia Pacific,Hong Kong,69,4.59
47.243.234.9,2053,2053,true,HKG,Asia Pacific,Hong Kong,57,4.59
47.242.174.27,2053,2053,true,HKG,Asia Pacific,Hong Kong,42,4.59
47.236.158.158,2096,2096,true,SIN,Asia Pacific,Singapore,37,4.59
47.242.119.104,2083,2083,true,HKG,Asia Pacific,Hong Kong,140,4.58
8.218.65.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,146,4.58
8.219.222.98,2087,2087,true,SIN,Asia Pacific,Singapore,45,4.57
8.218.126.53,2087,2087,true,HKG,Asia Pacific,Hong Kong,78,4.57
47.237.100.206,2053,2053,true,SIN,Asia Pacific,Singapore,88,4.56
8.222.137.192,8443,8443,true,SIN,Asia Pacific,Singapore,73,4.56
8.218.3.198,8443,8443,true,HKG,Asia Pacific,Hong Kong,69,4.56
47.236.254.120,2087,2087,true,SIN,Asia Pacific,Singapore,57,4.55
47.236.10.182,2083,2083,true,SIN,Asia Pacific,Singapore,83,4.55
47.238.5.0,2087,2087,true,HKG,Asia Pacific,Hong Kong,63,4.54
47.242.107.109,2096,2096,true,HKG,Asia Pacific,Hong Kong,53,4.54
8.219.177.205,2096,2096,true,SIN,Asia Pacific,Singapore,84,4.54
47.236.168.17,2087,2087,true,SIN,Asia Pacific,Singapore,102,4.53
8.219.161.129,443,443,true,SIN,Asia Pacific,Singapore,64,4.53
47.76.213.245,2096,2096,true,HKG,Asia Pacific,Hong Kong,60,4.51
8.217.207.60,2053,2053,true,HKG,Asia Pacific,Hong Kong,53,4.51
8.219.86.200,8443,8443,true,SIN,Asia Pacific,Singapore,54,4.51
47.242.7.162,8443,8443,true,HKG,Asia Pacific,Hong Kong,54,4.51
8.219.83.201,2096,2096,true,SIN,Asia Pacific,Singapore,88,4.50
47.242.42.153,8443,8443,true,HKG,Asia Pacific,Hong Kong,56,4.50
47.242.157.96,2053,2053,true,HKG,Asia Pacific,Hong Kong,59,4.49
8.218.126.53,2083,2083,true,HKG,Asia Pacific,Hong Kong,69,4.48
47.237.121.38,2053,2053,true,SIN,Asia Pacific,Singapore,18,4.48
47.236.167.231,2083,2083,true,SIN,Asia Pacific,Singapore,100,4.47
8.210.175.109,2083,2083,true,HKG,Asia Pacific,Hong Kong,105,4.45
8.218.201.73,2087,2087,true,HKG,Asia Pacific,Hong Kong,107,4.44
47.242.119.104,2087,2087,true,HKG,Asia Pacific,Hong Kong,80,4.44
8.219.50.180,8443,8443,true,SIN,Asia Pacific,Singapore,52,4.44
8.222.179.231,2087,2087,true,SIN,Asia Pacific,Singapore,97,4.44
47.236.169.15,2087,2087,true,SIN,Asia Pacific,Singapore,80,4.43
8.210.207.214,8443,8443,true,HKG,Asia Pacific,Hong Kong,55,4.43
47.243.27.217,2083,2083,true,HKG,Asia Pacific,Hong Kong,95,4.43
