IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.76.77.103,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,68,4.56
47.245.114.163,2053,2053,TRUE,SIN,Asia Pacific,Singapore,47,4.55
47.243.51.171,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,84,4.55
8.217.193.25,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,43,4.54
47.243.18.199,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,49,4.54
47.243.90.180,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,75,4.54
8.222.187.4,2083,2083,TRUE,SIN,Asia Pacific,Singapore,111,4.53
47.236.10.100,8443,8443,TRUE,SIN,Asia Pacific,Singapore,37,4.53
8.219.201.8,2087,2087,TRUE,SIN,Asia Pacific,Singapore,98,4.53
8.219.126.240,443,443,TRUE,SIN,Asia Pacific,Singapore,167,4.52
8.217.248.220,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,46,4.52
47.245.114.163,2096,2096,TRUE,SIN,Asia Pacific,Singapore,41,4.51
8.222.137.192,443,443,TRUE,SIN,Asia Pacific,Singapore,52,4.51
47.236.254.120,2083,2083,TRUE,SIN,Asia Pacific,Singapore,115,4.51
47.242.157.96,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,74,4.51
8.217.149.28,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,57,4.51
47.236.169.164,2083,2083,TRUE,SIN,Asia Pacific,Singapore,69,4.51
47.238.6.102,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,68,4.5
47.243.74.220,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,53,4.5
47.242.155.183,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,87,4.49
8.222.208.38,2083,2083,TRUE,SIN,Asia Pacific,Singapore,61,4.49
8.218.146.204,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,128,4.48
8.219.194.170,2096,2096,TRUE,SIN,Asia Pacific,Singapore,89,4.48
47.76.213.245,2087,2087,TRUE,HKG,Asia Pacific,Hong Kong,89,4.48
8.217.147.230,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,68,4.47
47.236.167.231,2053,2053,TRUE,SIN,Asia Pacific,Singapore,70,4.47
47.245.105.224,8443,8443,TRUE,SIN,Asia Pacific,Singapore,31,4.46
8.222.164.209,2096,2096,TRUE,SIN,Asia Pacific,Singapore,81,4.46
47.242.252.237,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,50,4.46
47.238.40.58,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,79,4.46
47.243.173.187,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,67,4.46
47.242.119.104,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,65,4.45
8.222.215.228,2087,2087,TRUE,SIN,Asia Pacific,Singapore,52,4.45
47.243.255.224,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,60,4.45
8.219.106.156,2083,2083,TRUE,SIN,Asia Pacific,Singapore,62,4.45
8.219.104.37,2053,2053,TRUE,SIN,Asia Pacific,Singapore,115,4.44
8.218.53.110,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,54,4.44
8.219.93.5,2083,2083,TRUE,SIN,Asia Pacific,Singapore,71,4.44
47.242.171.94,2053,2053,TRUE,HKG,Asia Pacific,Hong Kong,51,4.44
47.245.118.70,2096,2096,TRUE,SIN,Asia Pacific,Singapore,57,4.44
47.236.5.223,2083,2083,TRUE,SIN,Asia Pacific,Singapore,46,4.44
47.237.95.13,8443,8443,TRUE,SIN,Asia Pacific,Singapore,111,4.43
47.236.174.206,2096,2096,TRUE,SIN,Asia Pacific,Singapore,78,4.43
47.242.234.127,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,67,4.43
47.76.225.255,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,41,4.43
8.219.114.201,8443,8443,TRUE,SIN,Asia Pacific,Singapore,95,4.42
47.242.157.96,2096,2096,TRUE,HKG,Asia Pacific,Hong Kong,75,4.42
47.243.139.243,8443,8443,TRUE,HKG,Asia Pacific,Hong Kong,68,4.42
8.210.245.224,2083,2083,TRUE,HKG,Asia Pacific,Hong Kong,48,4.42
47.236.180.51,2087,2087,TRUE,SIN,Asia Pacific,Singapore,123,4.42
8.219.126.240,2083,2083,TRUE,SIN,Asia Pacific,Singapore,123,4.41
